	P90RSK	Cdc25A	Fas	PIP3	NIK	TRAF3	p21	ATM	MnSOD2	IRF4	mTORC2	CAS3	Cas3	PRAS40	Proliferation	CYCE	FasR	STAT3	JAK1	Smac	TNFa	SHP1	cMAF	RAF	Cas8	CYCB	FasL	RIP	RAS	XIAP	ROS	GSK3b	MITO	CIAP	IRS	P70S6K	Apo	Prot	MEKK2	MKK4	ATR	BAD	TNFaR	gp130	SGK1	Viacel	CDK2	RAC	CYCD	pIKB	Rheb	Cas9	cJun	IL6	TSC	p53	IKK	PI3K	mTORC1	IGF1R	IGF1	DNAPK	JNK	MDM	Cdc25BC	pSTAT3	Bort	MEK1	BAX	DNAdam	PTEN	MAPK	BID	Bcl2	AKT	pRB	CLPARP	STRESS	JAK2	CDK6	Chk1	CDK4	DEPTOR	CDK1	BclxL	Chk2	Bcl6	FLIP	ERK	MEKK	BLIMP1	Cytc	MYC	pNFkB	p27
E0_694	1.598680727603417	0.0005806920251215	2.285293716569111	0.0001539173831067	1.729825975025641	0.0028907668435134	2.226416336779554	2.0279944894416784	0.8232184220635996	2.2088518214620803	0.0302695787758006	0.0157850246449214	2.2695534010675726	1.8668439800837733	0.0490046817804966	0.0120356539121025	1.8173951032457367	2.3136985206022427	0.0019142740622681	2.04252218408114	0.0044017803026437	1.8357468889475064	1.7534721888748783	1.5458036825334835	2.1347554164773936	2.3964772530719885e-05	1.807930885606154	0.0107784011940825	1.6239953998656322	0.0105684567870687	0.1875990718072114	0.01203747691093	1.7944279297319172	2.472663474719507	0.0090790109667866	2.282227977072264	1.933805818498136	1.6504116962885087	2.8338674123342025	1.948332636433676	2.5898648078734365	0.0012987135714612	1.341136588396973	0.0064882909309371	0.0011383619976261	0.0271951022303723	0.0026770238491631	1.8803982597245503	1.8097904992574183	1.283738623863319	2.285463896437685	1.69014213490805	0.0011311347988611	1.7943195703688628	0.013535321799436	1.96216340059098	0.8349818896912105	0.0075494173615188	1.915178836076215	0.0299863338172739	0.0216000113867531	2.19508821273479	0.0647485434290423	0.0566496329605341	0.0074625329591936	0.0373375886765518	0.0076815008888017	1.8889665227700867	2.0393413540207206	1.985182593011086	2.118838189154677	2.647084744791946	1.744612531759346	0.0115166214740795	0.0133744388003737	0.0092421662654743	2.079774731750728	1.6310862458042783	0.0011274230034652	2.0313783630184403	2.2248794303474644	0.0042004068589103	2.2191467128801614	0.1035999193301498	0.0210019920863627	1.744518473831984	0.0181425344466571	1.5756496714477537	1.8703825267509224	1.868984722185629	2.7053391279310586	1.8675475962372927	0.0239656647305727	2.499322519808461	1.7806315283952665
E1_114	2.4699290495723005	1.3420405805589355	0.0219205814941534	1.607035498572916	0.0460726013785919	1.9036079178418484	0.9925343787145536	1.256900461573389	1.4926878698292922	2.2611654356686275	1.7390809758128367	0.3037600227300728	1.6671533016050932	0.4286051726503267	0.283133112584612	2.116576057993847	1.8520081401716817	1.814436351504849	0.2210863788486298	0.7356918707719315	0.0173757413764333	0.1119330929656029	2.3146952455721106	2.300201330752385	1.8374841462083296	0.1245077386344052	1.9274765754091248	1.3817718167650732	2.530157196037664	0.0493909376704824	2.5417126761530526	0.1484038708683426	1.3905322588624345	0.0148348095428965	1.4252452646723768	0.1831761927424139	0.8851965731536409	0.101873421877417	1.8751053241565645	1.7090230538099336	1.9678066980641145	0.2511094811296978	0.0045095554431336	2.0516368206001294	1.8963827766742432	1.19096127449816	0.4376866457180704	1.908223668435317	1.8585077358023656	1.3473644376455267	1.86289043515441	1.1104519328953242	0.2145058136211701	1.730973345116966	0.0075675853051013	2.091026967961368	2.2569214309158987	1.8606062659272151	2.030973810833453	2.201267399053992	0.0062095954245133	2.182992628229232	1.1394584263081795	0.004991671694138	1.1264809320020146	0.0454982496421343	1.587785677633858	1.7106477730695324	0.5953478676724465	1.5995736535952574	0.9554159583191691	2.242956614048476	0.7235367990553871	0.9359225603931238	1.679694177656536	0.0066337387456597	0.9348341908794418	1.9631561829525568	0.1744852513461565	1.626383646387008	1.6276678116152603	0.4435237786811176	1.775140389987893	0.7920848070220905	1.19412440802842	1.937356358400719	0.0142640945569719	1.8982201943818515	2.194056135064191	1.7843376256263808	1.9104428828145248	0.6990999619767269	0.1994391228406056	1.9194301085105536	0.6534845853287584
E2_16	0.6710490182307802	1.213189305433717	1.3577359481535674	0.3520704890956508	0.5732656197496884	1.140195218947072	1.3682873132822706	1.1504499960117955	0.6733865862949742	1.5361444089092662	0.7641416107723629	0.5223110680280986	0.8161499026054583	1.4377523960544716	1.616667181168003	0.3366737846641475	1.541119426175126	1.8504188070201533	0.2017978357322728	0.5932072362640128	1.6318031137841436	0.5856155806602822	0.9502372761847916	1.1817390373109415	1.0026029949997963	0.8174467409589065	1.1276540927498204	1.116377639824387	0.8782737718949944	0.2603408771728309	1.3636717765713522	0.6116787109877204	1.5560779414597423	1.1092763416832172	1.5539185287195698	0.9322892571741338	1.3456521171615077	1.3748280565201303	1.7173656028292883	1.1902418416511475	0.7900601540541374	0.624252722593767	1.0579309999644373	1.6790979696804276	0.6060768113475041	0.4264160733421557	0.4215404514627434	0.9390637514825464	1.2204201347587091	1.2040031971208522	0.9550565005119424	0.7578223038422319	0.7604116138902328	0.5586137663660876	0.6263096883409147	1.3460681360842264	0.902928433667444	0.9026462199814452	1.0871778763778233	1.004445174110928	1.0941120062876546	1.736036209008187	0.487241069025675	0.4103703082867238	0.9180942964115212	0.2133859068517413	0.6973903383639479	0.7578902133815195	0.8365798053526494	1.8555665823691256	1.0279063277866554	0.371548898310268	0.4121976618344617	0.3954702451770737	1.0167248102714443	0.6350796049411844	0.9355871045081168	1.2274326973822645	0.2258782714919877	0.6130108556663465	1.0504264175919082	0.1044888689929737	0.999294203600897	0.6478659099275471	0.1070639292844851	0.7636554646616397	0.4615976874704378	0.6225453265460433	0.5906365644547467	0.425807202602934	0.4719887438985251	0.4824023414569779	0.6605811678494894	1.5142474509896646	1.477462124772715
E3_483	0.0012297616581445	0.0029878646096799	2.169138526043467	0.0001704677547929	0.0209066962003262	1.6223467540956076	1.6481347332563252	2.111725383195082	0.2721293510801295	1.5205837254005334	0.0155294983933213	0.0031073310725192	1.672640722828828	1.958967865711983	0.0048833179407104	0.0167225120935639	2.5684910745621186	1.84594764610748	0.0144993172112596	1.874430419003756	0.0197401718617992	0.0169690116724772	2.2141919023811383	0.0224208448986045	1.6712025304431954	0.0029802501253665	1.4879548662760902	0.0587353687555481	0.0152676990941283	0.0103849040032042	2.5295567798227583	0.0183473378946966	1.7380135063762148	0.0040015383510819	0.0590387511849573	1.6550385340951534	1.881328121607271	1.7768635454803423	2.281660460316409	1.816246585002608	1.6984750284000594	0.0089505605385716	0.1364726957723392	0.022812565937956	0.0018476103055723	0.0322914470861166	0.033254014706213	2.1877340665800973	2.0002786777937063	0.2220585791002537	2.2037719257959902	1.8702169826342296	0.0041757105974051	2.333801067838452	1.9293094382516944	1.9030461702797496	0.0460918092444549	0.0063588464065539	1.8741341501908684	0.002328763808509	0.0372932132970053	2.285346782213891	0.0092086769263356	0.0037536605707261	0.1299997628507527	0.0037660221903602	0.0394504939403603	0.0042236369816562	1.7473617961314307	2.288006215742527	2.025603941088064	0.0083620466308569	2.0988240764268387	0.0284767565571249	0.0009786250251729	0.0045339000251284	2.049731004345493	1.7994690505247544	0.0043494302260566	3.212504213320686	1.9029498640155424	0.0001533905956212	1.585835800203382	0.0004133481725473	0.0051144201636437	1.4646745482073107	0.0087707600118283	1.7879769031603123	0.0006122055411178	0.0092189269240861	2.1646384535198746	2.114396445917814	0.000700003121877	2.02955586828831	1.3343254125972452
E4_793	1.6141317833844464	0.0008881804874308	0.0285372996567894	0.0025730095105177	0.0245507045280164	1.7972342143012654	2.4258842210330864	2.353412166957528	0.0192442355231994	2.132930028567344	0.0268312566446479	0.0028455701072213	2.054635938284353	1.5789582327977902	0.0024103278474547	0.000970058551221	1.4632195901887508	1.69914311502102	0.0079897818325055	2.069233938426892	1.5488190475245665	1.694297046023111	2.028780158559854	2.476319850330738	2.039790173406648	0.0238639373707575	1.8276686148064272	0.0097945619322428	2.120186609370613	0.0080499046416848	0.9461736634465544	0.0586711553389734	1.8675256676736955	0.0071467147939992	0.0473871560584371	1.713559824859502	1.7737029155450186	1.81757847900484	2.161645014491228	1.988943080582688	1.684479127477935	0.0008200607221003	0.0031554236316581	0.0020258889819562	0.0059330740339309	0.0004226538120914	0.0037696578897539	1.3204008818220077	2.2542432906616194	1.88874329997667	1.881505085379001	2.338990226561772	0.0037437213882341	2.202277705374813	0.036405353933445	1.9364905581508671	0.0959998393485066	0.006529380911028	1.647784286917478	0.0214276685569417	0.041867012813296	2.350395189605992	0.0011962106333112	0.0736635269502184	0.003121021360007	0.0408395466307633	0.0189715755623047	2.6303178370368028	2.250469409107789	2.3500967814254765	1.8943178427619456	2.1408790386785865	1.9860657890950164	0.066798601763977	0.0089899397360792	0.0004808988109236	2.360142528288504	1.900746447777188	0.0868976612928155	1.9791011807241168	1.986826614864314	0.0160110653288581	2.271890547378412	0.0170582148386668	0.0096655482412837	2.0793153786655423	8.113468034784497e-05	1.992498395501663	2.052742597635348	1.7016643017415194	1.8093007195011783	2.381740691366345	0.0055178318968469	1.4876359602850129	1.8192385353902405
E5_191	1.088983381119503	0.0262245933359383	0.020014605838209	5.618308213208381e-05	0.0529423704085034	2.509498430258197	1.791063652572565	1.7632337758298589	0.2428849883213802	1.9504059239111864	0.0675625187542356	1.452311127231335	1.960704713271188	0.1070387142040679	0.0139846335162919	0.0030274735913082	1.7840893315822508	0.0387253885351282	3.647636990761357e-05	0.0325862659147901	1.8751572587140468	1.8294783394294896	1.4428664115691905	1.7510985414808466	2.2698960307497646	0.019385285089779	1.7106926026939393	0.0586268769251622	1.825842455204818	0.0170898007787175	2.352696594535041	0.0699444951304597	0.8909522775818604	0.0120030477426152	0.0942505251504078	2.3877885650417463	2.0311447750991585	1.8470501591764976	2.224817170296248	1.9374404885634409	2.084358052574665	0.0037969762943595	0.0085648622867135	0.0130024850399293	0.7711562680329042	0.01456233103754	0.0371503838059796	1.795714418514747	3.551663850883245	2.1981582769269883	2.311174287913436	1.9997866480835675	0.0248971550247054	2.1595773298043373	0.0614205426654084	2.010460973103442	1.4447827910121542	1.006082899715475	1.6524418095257645	1.4286499786706528	0.0216587705926436	1.5706614307418885	0.0559163574191982	0.0122727725996348	0.0040523364061586	0.0053972662901813	0.009893820170173	1.8765665441636097	1.7536114874115505	2.203945400377392	1.5262095601347343	1.5235893213302358	1.80605577019912	0.0410619434520693	1.611168873389653	0.00538000294547	1.5426641167522863	2.675805691284038	0.0465358485248143	1.568191664730565	1.5720027672549055	0.0016942668384491	1.006386597513964	0.0118792075700983	0.0160975669249537	1.918647594105527	0.0013788136481715	2.1263516979914683	1.835429073208796	1.378474605242907	1.9634234381589104	0.0237492719293183	0.041101647524122	2.280096934384132	2.121430358404084
E6_68	0.0103776220726175	1.2388092407064504	1.3685476456707577	0.2037925132575942	0.4661218346340092	0.9517659755639272	1.9013878729586124	1.0879115703078244	0.3365547118818525	1.7017828977819134	0.8337309475967031	2.2473585930875086	1.513765522851147	2.442263591439062	0.1136152804055625	0.4333513460798006	1.693755077066986	0.022507722603458	1.2764365132632387	1.7557139805621342	0.0124664919552983	0.0024686281587131	1.975332875323676	0.0480173137692301	2.753445431909758	0.0065230129263383	1.9117377970783729	2.21526911269729	1.0759702907712096	0.0340118260806284	1.3470106164063094	0.1182213501792667	1.104097949061031	0.1085237711788734	0.8563838224845584	2.089917054822651	0.2088507774678885	0.1827072959375486	1.4560353945289382	1.2246485963561389	1.319937325669622	1.0131865699628344	0.0087939155059887	1.726161933689624	0.4742787213878321	0.2019525068761722	0.0050489448738902	1.7327077034936584	1.7582254793783598	1.511422976939019	1.5383728092119382	0.5189037322581148	0.9339714116208676	1.776157132921354	0.8759006923497119	1.5574518177824266	1.6009100981830882	1.069427187859698	0.6978743106887614	2.116545926491151	0.0934494217281995	1.8607406536114013	0.910251813047118	0.0074786056854297	0.1331861207429374	0.0045136635226069	1.7398615458382336	0.0704377284879822	1.355170209158504	1.6079910851300692	1.6100665028823151	0.1801560157788747	1.314862827214155	0.0669429076800267	0.2633968469981109	0.6346295100887411	0.2350242339891769	1.5828599150074332	1.1669269659490749	1.654935572404476	1.4502177754600587	0.0302186773728843	1.2477239688705648	0.0030465724550136	0.0066058326620098	0.2503010460568647	0.0124672798393754	1.99695303277884	0.4623360048799707	0.1403790344223353	1.5488644571911612	2.211002167893999	1.362274388464905	1.9091491177497888	1.918638619083952
E7_522	1.8730073688620312	0.0010134658567702	1.94519794023527	0.0387607173039682	1.771240988540355	0.0014239357754362	2.2948216299099973	1.692440400902155	0.0651050576369231	1.959987738209552	0.0011916677394971	2.220723674928345	2.19243028338461	2.185172087969611	0.0102145337034802	0.0886893578321492	1.6995852708962702	0.0905052328202246	0.1067342266965957	2.601838672236055	0.0087736362570725	2.121657888483748	2.1346086058575304	1.9042049266557344	2.1022516615177813	0.01215365135207	2.58826554227738	0.0019326483756554	2.491382285765894	0.0246212200725962	1.6078916046987488	0.0104300263645172	2.399275606227347	2.116445340451732	0.0057458374342003	1.591880582577586	1.6861775601017197	1.9950891218477265	1.660655443165664	2.2793319313687177	2.143192070238609	0.0071340175505728	2.13919936200464	0.143888811726344	0.0438865058429983	0.0563731616031148	0.0145233706925344	1.7786958229222103	1.9455744606885268	0.2578335767776916	1.9496378056321209	2.3087137404885163	0.1058546360412529	2.3248665407782148	0.0255115348453429	2.356870844172874	0.06058212847524	0.0465851281002592	2.3888658906195905	0.0059648345911683	0.0021021817179303	2.1307051449220973	0.0348030211693796	0.0699649985173832	0.0025066711509918	0.0546507843792014	0.1612690968332531	2.0096405084497824	1.6993076107859086	1.7104379877751843	1.7373989028749497	1.6715332915211627	1.4206492559746189	0.0239353813075712	0.0149038590155658	0.0254130705668574	2.0862041014697006	1.5185766140190236	0.0032933529402645	2.1266636264522063	2.0334897661255376	0.0062148590201493	1.9110915320506103	0.0298506581960116	0.0127927997616487	1.4314882904164157	0.0108890691809083	1.87548539491741	1.8506375635090468	1.7004616317728378	2.318818745679432	2.266090701643033	0.0080448081034418	1.8774665843999845	1.7909894308129648
E8_618	1.8138137267824888	0.0249932227457125	1.8813734752965388	0.0638241636738727	2.2830498795728884	0.0001106784185395	2.247614118143032	1.6823936621832984	0.0101914277839294	1.7021062017825834	2.0077535461990905	2.4416315717013592	1.8449789380448725	0.0428885528045667	0.0596914954765632	0.0021219189666589	1.5011015484183352	0.0837742706659836	0.0010625140710359	2.0150669703551074	2.4127084744339915	0.0042087910083276	1.7305217494859326	1.672823501662355	2.28675976539788	0.0082635348800377	2.040786189317271	1.8655061429905608	2.1198677750533017	0.0083757006084899	1.092364768850186	0.0038402460912317	1.9557402574625369	2.357083138346222	2.68832653130337	1.881425955141253	2.1355073943176457	2.1321739286487915	1.9631446441905984	1.8654100982242936	2.0729068465323257	0.0004631930281495	2.230300224465616	0.0488550122773469	2.164778194296546	0.0183335422227327	0.0297705324671258	1.8841819132296505	2.241142510173107	2.4285342465512194	1.8129424893046024	2.5526462835636803	0.01108029709538	1.6137327712037155	0.0339528292928967	1.4729279770441144	1.6574263594773968	2.5963021963456967	2.156437831619676	1.8753715185009168	1.632231319402111	2.7323861449672537	0.0056787759988142	0.0100889684380769	0.0037087300592459	0.0023355371910133	0.0855955738097626	1.8839529894529088	1.4825709259269066	2.4016676842498845	1.895813457460631	2.2189026400440146	2.1815994338015163	0.0231788689371025	3.009386912503658	0.0255855686197325	1.757480214280858	2.2614604950609345	0.0255480137170264	1.8972375723777768	1.8054612846565063	0.0763595915563448	1.8330898334794168	0.0003809837511103	0.0095051829837624	1.4153989633753612	0.0016002569606481	2.039363589684416	2.088299608267392	2.160406324789312	1.886424640303051	1.427058153292138	0.020101191523975	2.062860598033828	1.63922269478922
E9_768	0.0217069795204453	0.0276779793864378	0.0039732632912235	0.0148196300754342	0.0127279566457492	2.056898279692691	2.744447400520865	1.4394661314280053	0.0366661532025391	2.333371737537621	0.0056915340788277	0.0133899109838807	2.75522994369985	1.6329179115464836	0.0248036600573373	0.1270490569054209	2.845324803950913	2.0928529302481045	0.0727593736461578	1.839918135004472	0.0022395056349283	0.0007011138942707	1.700810043690442	0.0069807715456967	1.858446027578912	0.0013670917375134	2.3831687578327743	2.26182515309074	0.0217437426518784	0.0036350769058857	0.8493188198162657	0.0358000708209543	2.3818563393841967	0.0428054031237447	0.0147516095423467	2.088686027862775	2.495103333548871	4.668772419875924e-05	2.7377496518566824	1.8089476224553145	2.701706266912067	2.7088927415204083	0.0080298341645118	0.0005115890169953	0.0172161883965801	0.0034223661494075	0.0005241552255276	1.6576584706965831	2.086894080263273	0.0129508624359849	0.3626975953864476	1.4548748687968196	2.497291011176534	1.9161319400439016	1.9380105019942708	2.283391088716007	0.0209449166594084	0.0025934011439236	1.9406097234046595	2.173719393637664	0.0055519745597415	2.2331366289480594	1.6571460590011975	0.0050440715323073	0.0389699001663704	0.0246712619499591	2.4633782143474767	0.0305929150234827	1.4576643493330947	2.315597435761422	2.1841319881409285	0.0077528180040746	2.0990602124793574	0.0164646341059562	0.1864032358665759	0.0139383165747932	1.9565607963981884	1.5116700597102155	0.0001792047564777	1.891694525131564	2.086862872198624	0.0350948961721168	1.812322098123768	0.0003306084366124	0.0057573949852071	2.4197338778417614	0.1116692865802286	2.14463252026332	0.0006318675831129	0.0040512220311234	1.9060623491417903	1.9260135290070104	0.0271272402187775	1.991267592254368	2.7683835789266924
