	Metastasis	CellCycleArrest	ECM	EMT	CDH2	AKT2	ZEB1	SMAD	TWIST1	miR34	TGFbeta	p53	p21	p73	p63	ERK	SNAI2	NICD	miR203	AKT1	Apoptosis	ZEB2	CDH1	DKK1	SNAI1	miR200	DNAdamage	GF	VIM	CTNNB1	Migration	Invasion
E0_155	0.0130923133017067	1.7936170529600164	2.014500918863019	1.833452195145859	2.242308746079559	1.921641039478019	1.3205137246447756	1.608385227274047	1.9933292743772333	0.0258787669145385	1.4295178483183526	0.0153323143705199	0.0370224447822239	0.1205320639646677	0.0028695031328938	2.401818152253956	2.167992153939706	2.171899086637061	0.0107216884029029	0.0071797674137557	0.002690424700607	2.580409315527943	0.022330035153379	1.130811915401028	1.5949213939859848	0.0444098171922448	0.005726197866821	2.402701913526511	1.644630757876533	0.0040448034374367	0.0011532731070126	1.644629342526843
E1_425	0.0029736806897708	2.07179203542587	0.0222239061002218	0.0031264895900918	0.0138282489204514	0.0105336607236834	0.017870427307999	0.0054484227216886	0.0049649104746237	0.0498984407104833	0.0020277678642525	1.5914896722654714	1.756059536812816	0.0825036869991234	0.0205213035125766	0.0019828509051567	0.0096205532817225	0.0159436668085912	1.9274710216554527	0.0041803868782519	1.656540437439641	0.0115102935597436	2.026850279598712	0.0298182985173686	0.0498320017765097	2.275672021755102	1.980907374736512	0.0457681811929226	0.0076074561377136	0.0022969461341313	0.0772198443512488	0.009425689894343
E2_161	0.0178843079370313	1.505365894637123	2.3497108677743537	1.1456699460068342	1.6916828895145066	1.846657383783182	1.607041568039263	1.307414116021184	2.2109828215445	0.0022909862286888	1.3667560455474106	0.0018487793032848	0.9575446521275196	0.0085777763971102	0.0121782444283438	1.9705639888451865	1.9878367447249528	2.126616788746327	0.0836768367607936	0.0271046733291883	0.0035963509575709	1.4644217636481405	0.0316299418948275	1.962164138394572	1.9995377424213288	0.0416743249373697	1.5407045163955957	1.9847890438150853	2.131874660025905	0.0048147609116922	0.0037506264916536	1.4236380102902677
E3_410	1.5182374344104468	2.283946336139614	2.3620574681959274	2.1805367632718093	1.6326486819030963	1.890489683683506	1.934200346099872	2.005938022800318	2.2736035535025745	0.0274268646985924	2.2768307131066376	0.001417205257697	0.0043873831399413	0.101124444400864	0.0085579560391342	2.255105365507218	1.950980394281391	1.4529455832055769	0.0169877584039305	0.022803450612548	0.0040246312611054	1.5614098386186934	0.0006117972992594	1.6258389152237047	1.9853390912711293	0.0023929528499613	2.0907863665889703	1.807120339962304	2.366317394865914	0.0351276219102821	2.19688906509615	2.738772379617552
E4_412	0.2229851787646546	2.301341844648656	0.0152840973584141	1.6565166948596768	1.5197155573055634	2.192147039536756	2.1452681934694864	0.0998701225187446	1.8613001276111245	0.0089646943932663	0.0013833158514757	0.0434943697574556	0.0147228263313786	0.0604557764078787	0.0028886375027377	2.232885239707052	2.320325674884006	0.0080610835947379	0.0203146090972316	0.0705699526005276	0.0247635027736105	2.300820782742767	0.0061975004490739	0.1631083011834078	1.6361627993538508	0.0266820133931362	0.001329900941534	2.372157553176417	1.7754236940444033	0.0110035073584211	0.0025168116409899	0.0044939760224336
E5_708	0.000174456462418	1.8334300938517367	0.0126753158838406	2.075224671419273	2.9333978577298514	1.656994566179138	1.2568315996150297	0.0318009187731005	1.9262781409357543	0.0975887308076359	0.0529022000971919	0.0470518139069337	0.004603331508328	0.0457484580671646	0.0421031782749568	1.8091546522042208	1.962353329668272	0.0147378681431994	0.0037011723516521	0.0137130057623436	0.1403715370224986	1.874689979135284	0.0020614841340017	0.0001819164975759	2.130649053059124	0.0041996237186025	0.020087263945631	1.449236715152188	2.373850458408897	0.0504305360472826	0.0038545600678712	0.0420108793626251
E6_610	0.0102694630267538	1.8115621236498007	1.871305498893764	0.1169925515757186	1.6136501763037363	0.6947208467397363	1.955729918521668	1.0169192859376917	1.935855004401981	0.0232698478471285	2.0736358502713674	1.5381953900819785	0.0025229719229435	0.0003505168886154	0.0068536509640931	1.9259463615267456	0.9152751260917922	0.7288990954190758	0.0767039976961293	0.0109719007684574	0.0066021725181584	1.6183930816081935	0.0588765581679537	1.771188698427208	0.9545196658897926	0.0102029395957329	0.0093644889209346	1.8634654886336144	2.398347675580256	0.0966899493876112	0.0020129099419218	0.302444809160259
E7_223	0.0790769967480774	0.1961641915572279	1.9562854879929843	2.421971996738556	1.7238180285222058	1.684769063348899	1.4946426492054043	0.0349181804505856	2.3642091267223657	0.0781137561939384	0.8285283794291558	0.0089430590183977	0.0077775641740798	0.0025623173187587	0.0854121061851809	0.1330327966106088	2.24472774574612	1.5065552545585672	0.0239841927208131	1.0675303241721683	0.050778288795429	1.962155996650452	0.0197398733746418	1.8240973307960504	1.4512178352694742	0.0033133443205658	0.0089922834201763	1.5541097591787765	1.583440080705	0.0165066926262909	0.0042470447065237	0.7470563529901415
E8_658	0.0239009387051401	2.0322324751589136	0.0034905974011317	0.0003262126769342	0.0103055464960997	0.0145992966754294	0.0021460718794949	0.003620002692268	0.0209976585002048	0.0185591749104295	0.028089406159351	0.0029835168283472	1.5777078033233174	1.9747182995432897	1.5493001753202695	0.0116108952040973	0.0062171519231172	0.0721268127860807	0.0158419818458075	0.0289427420566513	2.189494740816317	0.0033114903783631	1.526554160570799	0.0025552658134858	0.009721353857976	1.84581605754274	2.051564021414497	0.0019564077230989	0.0272198344174841	0.0250750212183814	0.0052373063167994	0.0030132758480784
E9_173	0.0210372097177694	0.0148289996193527	1.3037081366346592	0.0182961455986143	0.1127453865853442	0.0128877076347373	1.4399819631575297	1.6628926632643737	1.0098636759282484	0.0787466062196219	0.6219844606949969	1.579612171332932	0.324109891275344	0.7849541744666181	0.2681431316193296	2.0827246001444064	1.3530488380062375	2.002181327837978	0.0082745374809175	0.0069183309745998	0.004967882126245	1.3532135025602523	1.9402736257294555	1.4905641952105486	0.7124191151687677	0.0029334122098865	0.8681312008879072	0.0005739884487547	1.4327621252502605	0.2791136272912005	0.0078223828179915	1.1492112439052105
