	p3LTR	HMTs	vsaRNA	RNAs2kbN	asRNA	IHMTS	RNAs2kbC	RNAs4kbC	Vpr	Tat	RNAs9kbC	Nef	RNAs4kbN	p5LTR	RNAs9kbN	p24Gag	vsiRNA	TNFalpha	NFkB	NFkappaB	Rev
E0_787	0.0037317622237166	0.0470593286595382	0.0072452660148155	0.0243345782741505	0.1533392696192202	0.0455538600080262	0.0450972507989448	0.0202447315441556	0.0102235543203815	0.0224894413417831	0.0381321788432967	0.0044300573556871	0.0015514693479654	0.002184957149671	0.0018678785979227	0.0360544144558329	0.0536823125726826	1.6451339791712598	0.0872770725548203	1.7763653849535477	0.0009476615157164
E1_99	0.0119297269725755	0.0078713704362287	0.0032997327707161	1.769744102974873	0.0041555039481839	0.0106756784039554	1.9253940942075147	0.0057790759155454	0.0052881116969196	0.0299781929203905	0.0455026424534161	0.0237769236740657	0.2120393861004636	0.0013548635020874	0.0613114723749319	0.6746678796887217	0.0051798607224079	1.7637884615384012	0.116282389453932	1.737573948909628	0.0226010971167925
E2_582	0.0097163505382895	2.0985586525727737	0.0122946291302572	0.0006821605567607	0.0155653978887373	1.96815618373012	0.0188822366630266	0.0148714699810529	0.0046324154598169	0.0020156689319308	0.0053822787886491	0.0164691876062307	0.0017176971439661	0.0131038957925097	0.0024987778607022	0.0066198086387485	0.0160855301159791	2.575270640891164	0.0531991835083692	1.576391650068583	0.0854542555069164
E3_590	0.0065653257231314	1.782134493890854	0.0008205255333295	0.0006279812978594	0.0332463381144059	2.082356185572789	0.010748544574393	0.0158828356222716	0.0003515774525747	0.0066344176219022	0.0102924376276764	0.0029917035989154	0.0088294299362473	0.008348892434911	0.0014439766093882	0.0237024217552522	0.0142468245757918	1.9004688131544087	0.0006577567493784	2.808361981288712	0.0298400868920022
E4_28	0.0504518817985276	1.7953918883994535	0.3838436307661671	1.8729637131739536	0.2712406955928332	1.0803707028920957	0.4288370655655672	0.2822081500705822	1.1851460945146948	1.0045334652665925	0.2535593235040518	0.4042777947500974	1.1632721623439883	0.0743042567232401	0.9423979911468964	1.0620483610038034	0.3006471276685147	0.7724727206595512	0.0297357119117342	1.3290827012991642	0.8964050294917113
E5_309	1.957651959420465	0.00623547779644	2.227597846150047	2.096673319317816	0.1429842013261845	0.116474501832293	0.0846022384867706	0.0239176585504639	0.0347157893408051	0.0849351405823965	0.0017395479182189	0.003389204412861	1.613070954043046	2.8574265208618423	2.1384958530247062	0.0208275737810659	1.2785660407845505	2.0870993404035736	2.0984914659001936	2.1642714745662484	0.0500415527277367
E6_597	2.2678812118448626	0.0033297577199127	2.072299191266932	1.501023253603946	0.0364628403173022	0.0031630302362412	0.0156865173113437	0.0261819824517544	0.0048372795615132	0.010835052872605	0.0095946003068856	0.019802843432259	2.2207844858258703	1.6791607111659568	1.2772990029223554	0.0481033851871284	2.4081046887979127	0.0094408404526095	1.9885263632350307	0.0048698568564878	0.0037013501201363
E7_609	0.0036655199530911	2.00355968371728	0.0278262672193698	0.1281949227499523	0.0028388654066023	1.9558908557305537	0.0588731092090047	0.0184059851677823	0.0356537350092021	0.000245721149899	0.0459588210034456	1.9823052083582533e-05	0.0248524518290696	0.0195136746541931	0.0522923621286595	0.0009726551229711	0.0011649197499385	0.0034913978722657	0.0436934203165169	0.0148010337001189	0.011441251966434
E8_224	0.0048767301319587	1.9593287814119869	0.0093514280091182	0.003976922359051	0.0973432789285971	1.937513989483724	0.8671783612225155	0.010573280587876	2.070270097549324	1.3107737637755708	0.0366898553226419	2.05676244065041	0.0006731835739309	0.0018069510223654	6.968260426836088e-05	0.0025754691656619	0.0089354587424189	0.0030690971650858	2.160774349856402	1.623806057712445	1.7110452633652835
E9_133	0.0070242928496209	2.1037437821762315	0.0229267149999453	0.3605699461696035	0.0204135420790942	1.9579626186335863	1.7941483539295224	0.0137290217478902	0.6320608472000708	0.49896515463057	0.0131237683557119	0.5578556212385729	0.1383260500758111	0.0466409990885414	0.0072430123721749	0.0743538813116158	0.0060991030351614	0.0421120577811791	0.0336789401210407	0.0217264686319632	0.7126110239480126
