	Yhp1	B	Clb5	Cdc14	Cdc20	Cdh1	Cln2	Cln3	M	SFF	S	Swi5	MEN	SMBF	FEAR	CD	Clb2	CKI
E0_629	0.0243236119266906	0.5580817566851699	0.001208275892133	1.5121720835599244	0.857441849507076	1.2222052444632563	0.0087301262830504	2.4060143190766805	0.8745720055702927	1.1306951383296209	0.7841695549135163	1.69357235139633	1.455790731188929	0.9457883485453936	1.616116544920292	0.3775016005462464	0.1484491702920302	1.4437298016572997
E1_752	1.7409758186488835	2.2393861655814216	1.4769922572414729	0.0189055571547708	0.0218129995338227	0.0058274202243633	1.5688341325705553	0.0001062053671195	0.0188802228858564	1.9474553471003209	2.10011748957297	0.3269753825175646	0.0481147984236725	2.212311193985127	0.1433968326883709	0.0035971565123202	1.4538437084219065	0.0005491206225578
E2_150	0.1938549984802131	2.0541526796793166	0.0009518813970041	0.0036071744630293	2.2640451952888667	0.0155643427999793	0.21572689660499	1.4241408635027328	2.1732454310358724	2.8643890515426835	2.119292625918604	0.0298607450593589	0.0118449746388306	0.01825828681514	0.1077605595940184	0.0061150049095232	2.344642484200397	0.0014838491756534
E3_367	0.0004910062287511	3.057701642502499	0.0212775260780304	0.01533268507671	1.405921895030578	0.0027043604656896	0.0796633698310627	1.6023928088822583	2.4755669878384587	1.9832755892388283	2.3299531633224606	0.0276398263185331	1.9689861608482289	0.0154518231937687	1.6882845221816638	0.0042466573682574	1.7861800555717011	0.0186862051246433
E4_157	1.6233022615363604	0.1497655685626241	1.3550213842344547	0.0009356705022788	0.0006878343025324	1.9779147000916664	1.8251656870127	1.4400603935528924	0.030330124549953	0.06810802234796	2.0640046148528217	0.001315639531753	0.0017904068533101	1.5268477482998648	0.173710343406918	0.000298355624695	0.0049785379609845	2.046124541908472
E5_488	0.0268592723978732	2.652036241493432	0.0020894960267796	0.0057411194082666	1.603146088814453	0.0074920479976557	0.0132782381918179	1.9783967290992728	2.149169303664644	2.053954634435413	1.8026727317527689	0.0054406439646127	1.4617491889918142	0.0031615052318678	1.8099699109101592	0.1011893286549023	1.485645553978823	0.0003377261855508
E6_537	0.0155644326069776	1.5930168138832994	0.0380179565653251	2.4068093887129223	1.889524762746476	1.3746248788687447	0.0005524589882622	2.602689156360584	1.8704914443778315	2.0276571641338887	1.602084001333053	0.7071557583342949	2.178963406857543	0.0124711623553583	2.024700933058249	1.255135939616632	1.793654889730738	0.052748693670564
E7_112	2.6493937447897933	1.360197241039245	1.732347510341681	0.0016839709731083	0.0016238978307564	0.344533774053698	2.2502240987312385	0.0252258947840224	0.8741517020872779	0.0030308281737069	1.4822426275007448	0.2505652824261931	0.0065193021513011	2.126665330409539	0.0036073159655985	0.0142902590458054	0.0005378241469798	0.0241678514157623
E8_734	0.0046367554768317	1.800397898542557	0.0093311329186272	2.043279739933681	0.3021076782550002	1.8686513823852409	0.0052425629199603	2.0233381516760818	1.8647262077775024	0.1160179025446683	1.5549526149684418	1.7584901636322736	0.4552956217774732	1.4213598587056742	1.689884496724454	1.608425456040699	0.0433422303871676	2.248726647137824
E9_631	0.0046424991967628	1.547562149644356	0.0053936862332703	1.860171208540041	1.9791493736005863	2.112308594616612	0.0085343584891487	1.759794301649057	1.9637007670368083	2.616378708436845	2.1423389414069614	2.06675142542264	1.669277234548808	0.0292489459391461	2.2966136226061176	1.3141980621986693	0.8984142350915706	0.4773247522238346
E10_445	0.0138935124944862	2.0837039219502147	0.0496921327635783	0.0033600902257727	1.447027190953262	0.0026494752500707	0.0076110737497162	2.2703858650447177	2.056785890797468	1.7203867506192545	1.7989094610617615	0.014924276411918	0.4305929406757841	0.0053208807440576	2.0565577114463283	0.0011340375500678	1.8775495465664325	0.0081605985777971
E11_66	0.208096728127075	1.3664764483164027	0.3058200677444194	0.0128945458028865	0.5668737429461326	0.0904790184787305	0.7241222816792313	1.8755583725361509	1.7394916567332162	1.945084187459284	1.775294807664935	0.4265946204674961	0.127003879976953	0.0739105239685408	0.1481211556476175	0.0752583662513233	1.829944847308447	0.0395223782634806
E12_701	0.0301659997549804	1.3618689357127949	0.0330091022302556	1.834501890831452	0.3378508299673533	2.016902065932753	0.002102638883191	2.8280948119494647	1.058728586015987	0.4142274672009822	1.4462627296777877	2.361993317031492	0.2476492437944478	1.4490741528829942	1.85033409048151	1.1408975107416268	0.048517839471583	1.833690590448372
E13_636	0.0066423483276744	0.8227417053065004	0.007999453891304	2.1225445366608	1.9700931275291675	1.4409870034158174	0.0494501237596176	1.6059962499063825	0.6983709824224783	2.03033049169312	0.5122834376150798	2.4033709354393182	1.8368607549863591	0.0081451878409701	2.090127013529405	0.6640951166980487	1.5374746090527809	1.4905116976045512
E14_574	2.104345341794869e-05	0.0046697092767282	0.0505244107209865	2.0529135649649795	0.4455957828516851	2.219957714440745	3.503824203471024e-05	1.6086347836497743	0.8269553688954113	0.7572966849346541	0.7206093994215607	1.718894662838475	0.6205372945228949	0.7649263793515546	2.188240593848412	0.7512047171409287	0.0167873002971652	2.587408851487008
E15_780	0.0408673651297118	2.412909948970533	0.0341379601413115	2.061611302391768	1.7316951551667317	1.583098536485715	0.0734390859700794	2.371301547178009	2.1984474558136986	1.707209325846685	1.7210521774051453	1.6090908798872143	1.6988664214489482	0.02156221799547	2.248123279010476	1.8026043264217435	2.030275976763475	0.1192732969173324
E16_768	0.0072323805909551	0.89077714782262	0.040637911374349	1.9598158140210389	2.264044581614794	2.1172162955707243	0.0143798841121368	2.603506708401748	1.3515385232972237	2.130041007551074	0.8487271178780884	1.9116212657256129	1.6279105827694025	0.0078286902384814	2.450217201308025	0.6409535572277224	0.14251645217426	1.0452134431143625
