	TCR	RAS	TPL2	S1P	PDGF	A20	TRADD	Fas	Cytoskeleton_signaling	P2	IAP	GZMB	LCK	SMAD	BID	SOCS	NFKB	P27	ZAP70	GPCR	IL2	IL2RAT	Stimuli	IL15	PI3K	BclxL	TBET	Stimuli2	IL2RBT	MCL1	GAP	RANTES	Caspase	JAK	CTLA4	FLIP	ERK	IL2RA	SPHK1	Ceramide	IFNGT	Apoptosis	NFAT	IL2RB	Proliferation	TNF	MEK	CREB	STAT3	GRB2	IFNG	DISC	TAX	sFas	CD45	PLCG1	FasT	FYN	IFN	FasL	PDGFR
E0_69	0.0089919956122736	0.0299267088574557	0.1531744929394881	0.1034856477674322	0.087406961724682	0.0050889483070035	0.0042492770124714	0.0277445872662484	0.0346310360302353	0.0663306169438242	0.0009302530987738	0.0179333550817476	0.0024035896497923	0.1093860636972596	0.17107431044412	0.0043017984131328	0.011558743908077	0.0712360795817305	0.0013917431602449	0.0062744578759927	0.0307585123894906	0.0033480664799278	1.4694774672550182	0.3154655460517699	0.1198284370840647	0.0045512357892856	0.1424597809311618	0.0253125191952188	0.0178438779431721	0.0010833445423887	0.1000405715067249	0.0090565211825852	0.0207514135323265	0.0675793010389975	0.0316304624022752	0.0531713881652932	0.01041160440834	0.0029134577017985	0.0328604328919404	0.0017509543643009	0.0006216520255459	2.3984743723936712	0.0014257716971961	0.001043456017434	0.0164229029177499	0.1720912675305394	0.0493353775946082	0.0043500118969355	0.0056690928124907	0.0014540027170878	0.0254290711546355	0.0018542121919242	0.6771066590968365	0.0034854272292506	0.0158811140728147	0.1624191876892016	0.0153606224412802	0.0060414271805799	0.2836673935927852	0.1374534765896139	0.0666777269657602
E1_225	0.0181820757564111	0.0084683734831258	0.006788932976713	0.0092890361582502	1.935096579660303	0.0364435313367608	0.0907056439357473	0.1073770090261972	0.0031236260013125	0.0725905932683998	0.0646103916099424	0.0002368663289054	0.0787296823012242	0.0028525504888791	0.0059600226273763	0.0078010466529514	0.0044785136794408	0.0023376652470467	0.0153821338052115	0.0115348475558227	0.0185357512183101	0.0116062362708919	1.8136142019878725	0.0084138501940736	0.0024255696996804	0.075934654224588	0.0703594213933942	0.0595584780745981	0.0108099100212168	0.0169871947779861	0.0375512777643808	0.0093492310727324	0.0046795749990331	0.0037229413651717	0.0063311867161837	0.0395509613215708	0.0029153922977625	0.0039609337747485	0.0265518874869526	0.1159568437687421	0.0024753760092127	1.599558293966428	0.0017212930306579	0.057499832192344	0.0012637398469173	0.0106583223189221	0.0022681985955668	0.1451912377985439	8.740822317532828e-05	0.0079937676114035	0.0104701061010003	0.0120020739011306	1.670526124552965	0.0460407258621838	2.6373142173434503	0.1275956230523093	0.0136517894685783	9.296126525770415e-05	0.0482757050370924	0.0287413284610253	0.0198949316406498
E2_782	0.0002950371621066	0.0239441671666383	0.0113782636022836	0.0170399437676598	2.10129408878004	0.056807663975743	0.0013947645029034	0.0137817755978166	0.001738849892102	0.0139264381652878	0.0409845235631403	0.0135595327292919	0.0152545273240523	0.0015602389056389	0.0010184687068626	0.0091651687557876	0.0176551726848753	0.0114410360907951	0.0001097094470813	0.0028630783282394	0.0338624438921268	0.0186968251798152	0.0071908974313017	1.729682015064452	0.053961947184038	0.0547034657883176	0.0471430876655814	1.7521366333108246	0.0017832526004088	0.0039445289397097	0.0245512124141878	0.0078639219653366	0.0496270547052687	0.0343926663380636	0.0237157245761939	0.0561388489209204	0.0010673492491052	0.0646706285332985	0.0056478820409877	0.0051664077161872	0.0002410139493222	2.1871602375575705	0.0577058902943864	0.0664101710070677	0.0042332198128069	0.0380085622990428	0.0006223553927031	0.0139841936232945	0.0161238293334874	0.0041030927170088	0.0044980995970014	0.034335575177028	1.6573819127853209	0.0050683974423277	0.0239924555187715	0.0148854282224395	0.0369375795135296	0.0012141451704277	0.0036315840502902	0.0023461657094873	0.0174589468433574
E3_759	0.0095103819370721	0.0021474794863482	0.0167898974211098	0.0001560966734388	1.8048879891749583	0.000130266357006	0.0678052523102735	0.0004405208850118	0.0006275842071245	0.002307767302069	0.0242004934204498	0.0152364644980689	0.0099466954790101	0.0853744759400624	0.0102710346380185	0.089978290980989	0.0016768256366838	0.0002375387137923	0.0010480436878345	0.0076151266053437	0.0168485269150521	0.0032102011800339	0.0013016395228569	1.6668001884739856	0.0001462837515184	0.1028665465485462	0.0036469900616042	0.0175594748811365	0.0009530796290094	0.0312859549045441	0.0243974659039752	0.0010723883644095	0.1438958987154272	0.0398325922927271	0.0007065380823617	0.0497555107673372	0.0138050790830462	0.0009917442741671	0.007644572487676	0.017042982256473	0.0009310682623749	1.5172850262208777	0.0169679687733463	0.0005596892946809	0.000200992794803	0.0109609094281282	0.0095132669306928	0.3388279631709096	0.0489391766755601	0.0050446551825568	0.0815759676336781	0.0026291532512364	2.0909825789729206	0.0378662100175486	1.923225632561537	0.0090414274399202	0.0258634393440156	0.0246346600987694	2.075668930570937	0.0006093578393323	0.0183614679874105
E4_353	0.0008952909657262	0.0006420354685253	0.0763486171688459	0.0275674532907577	0.0057468844537307	0.0024277032005139	0.0085534037513456	0.0494429944175392	0.0040352055216562	0.0098703079065409	0.0783923751128193	0.0225246114639498	0.0167794698858511	0.0173618727692651	0.0257474086698918	0.0180615014182838	0.0022497037969345	0.0073542906188608	0.0367898389179707	0.0062232660122201	0.0032883817941723	0.0312617357126482	0.004221953800079	0.0046853248649165	0.0479477562789779	0.0041867922339375	0.0003303628749757	1.515930454153341	0.0161034208584874	0.0084009419974096	0.0117276985858173	0.0129145248936571	0.0005586618027619	0.0345948372371642	0.0087745808197585	0.0218452398145689	0.00165455074571	0.0237531885030618	0.0179042508411601	0.0320528392482841	0.0477915219959853	1.8743529728882256	0.0346428876305843	0.024684439839113	0.0135707442208901	0.013260648360839	0.0739527519710204	0.0519378472204768	0.001716466686661	0.0037280987744359	0.0007505720659827	0.002998169700319	0.0007256399431292	0.0207776245554033	1.8610656363589968	0.0154722607515111	0.0008982481579226	0.01145425706173	0.0415276062289406	0.0147718128586773	0.0439859993120815
E5_652	1.4583010679962372	1.7497102014966817	1.7784698788676745	1.6411433187464366	1.7121456531464911	2.001834269931711	0.0044551909730189	0.0079591187951957	0.0414226550427276	1.611854763732587	1.616668754844096	0.0019891353452862	1.9472708744259148	2.0113355654740914	0.0062190012217296	0.0193928004901193	1.5642635615986564	0.0104610833700215	2.451466403366154	1.8861604113816648	1.770261344683068	2.565327041713209	2.397321587091311	1.477447293836096	1.2828960693493192	2.1875992751358253	0.0055377711416571	0.0048582275054607	0.0294208317174807	0.0061870864307735	0.0082391461154844	2.371137821586005	0.0125905644825948	0.0868643048577538	0.3777177823436086	1.7876477823284758	2.00135244671268	0.7281520314581218	2.240626591665232	0.0221284282040697	1.9003967078637487	0.0362929324622483	1.5943828853121402	0.0288153221991696	0.0716409412731344	2.2255768654283545	2.3062144959756314	2.2145590499690013	0.0046112192059864	1.999594164386538	0.0016459033360902	0.0078088888215747	0.0016316065263673	1.8986596391005783	2.17044759082985	1.6868571516746382	1.6590963640396277	0.2600736239318308	1.6441934626245962	1.9698565423821648	1.8828568386229496
E6_548	0.0307188248441809	0.0076847075415327	0.0019617194259499	0.004770611588044	0.0277211077366892	0.0372707443364313	0.0109343625211186	0.0073469033330938	0.0002060826507075	0.0150472664005043	0.1834404647595361	0.0110144220697556	0.0312090508636496	0.0113170182989606	0.038485734386618	0.0238017275944066	0.0002521114364148	0.010613280699873	0.0013213382352907	0.0082863554397958	0.0003865988571622	0.0080085338215625	1.7455552392269338	1.7308110827596188	0.0030824131699182	0.0535392489710657	0.0027078262033337	0.0092885048022716	0.0044448937712834	0.0296194197700004	0.0103237271713471	0.0002524338291404	0.0355177941754338	0.0109575242168172	0.1704373827296935	0.0203162819335325	0.0024720324395372	0.0003186136197819	0.0056778099544621	0.0136322106175008	0.0055614840977312	1.4991979544048863	0.0291652551638822	0.0015622294879164	0.003828728136377	0.0521598317215629	0.0023620140442419	0.0005878296551792	0.0185468507331722	0.0003993242859811	0.0113948200964177	0.0505933813821495	1.6879792235912523	0.0375442819363298	0.0008133194723783	0.0240284767157384	0.0029007118617767	0.0144650491477866	0.0019913188943297	0.0118294934663989	0.0174245738003925
E7_221	0.0008402998882746	0.0013377957125984	0.0052928161552694	0.0148272124565045	2.094553532923261	0.0014184802143047	0.0021036247645063	0.0171931568018251	0.0002398394047378	0.015380432470011	0.0128034829046545	0.0107041464807854	0.0678173041730789	0.0253099298598923	0.0042851046412188	0.004100143273866	0.0059839742403604	0.0039556064021911	0.0278154210102743	0.0042285173874783	0.0703423304333972	0.0113839601662375	1.8397214645106603	1.7746627500460084	5.649339553599579e-05	0.0145249164409826	0.0362822278603091	0.0190812496096813	0.0011239502148779	0.0058818637220493	0.0037052688675801	7.73042488117319e-05	0.0093174366880862	0.0146510588553824	0.0024193085126449	0.0535301478143001	0.0013118668628234	0.0114255608829181	0.0030505833756603	0.0139630433440191	0.0860827408936203	1.426333670955635	0.0065614256763618	0.0136097061143536	0.0337388350858406	0.0048021594706268	0.0225085262852699	0.00680393407549	0.0294239104757041	0.0235791600900915	0.0389545847980003	0.0009839098482579	0.0473195111674877	0.0092442782434967	1.5918085555434909	0.0100593192005533	0.0240365882371748	0.0175303317160098	2.0392253499822504	0.0116255038255041	0.0107350719946256
E8_160	0.0127766882237871	0.001863714720655	0.0338068366447065	0.0333464422614104	1.690861137996267	0.0111527296708542	0.0028083062858018	0.0197831364450688	0.0184312559838772	0.0057856787490557	0.0015007866827488	0.0182357360785249	0.0052373530543341	0.0087931719675669	0.015492671126191	0.0072424930770419	0.0012740952959358	0.0061658266727757	0.0039422246744544	0.0025651420934594	0.0066535582680275	0.0004065760131815	0.0004880219724213	0.0523627229642593	0.0266075397278021	0.0194757488389277	0.0014892755098016	2.1789268768726733	0.0286454613307816	0.001787109838912	0.0105579551899206	0.2481554589147452	0.0048968140392794	0.0045850888376064	0.0069398024570891	0.0008618403241006	0.0149325041756313	0.0302089991575361	0.0389339303345852	0.0304914157107987	0.0191244902197376	1.794549106199423	0.0057837266404793	0.0069056024261122	0.1817763257771504	0.0421647627695855	0.0098443615325739	0.0101994016489469	0.0187645374114202	0.0051637121175626	0.0175961771224645	0.001036658578627	1.6866733017610849	0.0191688073145786	0.0060606615563129	0.0003035098233534	0.0360578791427685	0.0091701243645178	0.1009564279840624	0.0072333074820821	0.0108459866826425
E9_180	0.0087180433005304	2.0228619547319524	0.0596438182560969	2.0650345925251163	0.9569362046922252	0.033267373647007	0.0102245814591738	0.0483421647553271	0.012488960397005	0.0606514309889035	0.0444964065510593	0.0217153389681196	0.0396651484213584	0.4692086241147448	0.0009683600270914	0.0082370993238498	1.546131269705812	0.0082173228317382	0.0027902870315265	1.2832425204598652	0.2316968176383671	0.0014737693645958	0.0192784001554678	1.7474450346371386	1.500840869056865	0.3749871669665187	0.0318341217668018	0.0077211403572751	0.0009016952073048	0.0222688268737762	0.0469531757894512	0.0168587790691336	0.0022078114722825	0.0109343425858041	0.0005948800872215	0.0692954015209375	1.339315163669401	0.002291671593035	1.7340267608611566	0.0254159142759499	0.2727754784010716	0.0030161757406457	1.914911868950553	0.0196043151728955	0.0186368880676554	0.2584370551178184	1.9403981362599336	0.3130437067759813	0.0450798309526123	0.0148744544065514	0.1036230161284433	0.0255476430243425	0.0022717925454796	0.0048746274415468	0.0225451100032919	1.5805294163353556	0.0296448333275291	0.0603488706012852	1.73528794080805	0.9002598925552804	1.1495660294514165
