	pNFKB	CYCD	RAS	BAX	pIKB	XIAP	DNAdam	Fas	Cas9	MAPK	PTEN	cJun	BID	IL6	GROWTH	AKT	pRB	STRESS	PIP3	MITO	CIAP	NIK	TRAF3	JAK2	p53	p21	CDK6	Apo	CDK4	ATM	IKK	Bclxl	PI3K	Prot	TNFA	BCL2	MEKK2	MKK4	FLIP	ERK	Cas3	MEKK	Cytc	BAD	DNAPK	gp130	JNK	MYC	MDM	CYCE	TNFAR	X	STAT3	JAK1	Smac	Cl_PARP	RAF	SHP1	p27	CDK2	pSTAT3	Bort	Cas8	FasL	MEK1	RIP	RAC
E0_543	2.43791982130995	1.7674908449615956	2.5441900887609137	2.450948504801731	0.0186848956920293	0.0699774288077099	2.4299264823836206	2.695957090256562	1.8847565105820407	1.496097451125267	0.0063150292366188	0.0124490338374404	1.9331614128363293	2.2280591769368594	2.2823813230791994	0.0021166965202548	2.159862689232736	1.7655123843961529	0.0002748369469561	1.7190512545062524	0.0442286239025271	0.0486077474066634	2.0144895383723087	0.098365948018001	0.0076006742716518	0.0202723183282945	2.228926098322504	1.8347578163095344	2.0327376515812303	1.975732375082205	0.0074431554220295	0.0144016876401618	0.0195839510495734	1.9886308187611224	0.0978097733203876	0.0010994977534218	0.0107380632401929	0.0207410380929976	1.786593657231098	1.6388799016293922	1.8348358719875333	1.9497811228670856	2.5400867874369992	1.920860274645921	2.0038128096986623	0.0427202297967976	0.0214170147457307	2.320624864123729	0.0130398504281298	2.130565188567818	7.734607930482372e-05	2.036888108611123	0.0122684492574608	0.0851783484450727	1.998764616009881	1.715641446565905	1.5035971500224268	1.7207035373173851	0.0188141597261744	1.8401855290588072	0.0109406818663707	0.0022104125542894	0.0581993893670435	2.4036676806544337	2.055376217924735	0.0017708743112933	0.0566671879978087
E1_313	2.141783343034149	0.0006821701586653	0.017391562537077	1.7255726193568903	0.0243080012510444	0.1523014946770455	1.918653287318284	2.028576631879992	1.4790501144389416	0.0032426668916023	1.8321779187765	0.0193490131303823	2.272943758707108	1.973161443142628	0.0556513190196679	0.0130861710967158	0.0008880564544218	1.9736850025641537	0.0139351689708204	2.0920375119696377	1.6525783949720898	1.9433687000831648	0.0149444891741864	0.0187051413111847	2.399038067655031	2.1419182524463927	0.0096106559507473	0.805247434491184	0.0026054876177342	2.287153978335716	0.000319791053728	0.0221709894662854	0.0492282570747605	1.9339085020581928	0.0006367304031588	0.026548906936048	2.563277073472761	1.7585301610622837	1.414887473132986	0.019092467710961	1.897795698754424	6.656595833637961e-05	1.701779172968377	2.277676325255985	1.924732621687392	0.0038192866737427	0.0280141305903432	0.0125515191666293	0.0375553375339106	0.1011968030946769	2.439192758537903	1.7824995755588438	0.1186589664845367	0.0487376938411758	1.555313301216884	1.37865682621659	0.0294903617686273	0.0176125421022398	1.6342977730595434	0.0175395949048258	0.0131444432751516	0.003133646598109	0.0289798600970879	2.046496807960568	0.0484330439369652	0.0030683484600019	2.55512919520155
E2_316	0.0196285767810702	0.0283122249960844	0.0076114007335131	1.5614098568596937	0.0130201186602371	0.0228142228194246	2.0037056443641235	1.9123925935410184	1.4598453351971663	0.0495583226514787	1.9484414468607576	0.0058621460167937	1.6958871495161545	0.0243837516889861	0.5870806202182763	0.086873955611149	0.0126460165949566	1.9533779367538813	0.0137202885418701	1.5824882668071565	2.3794800014258586	2.163582664182867	0.0266437426536109	0.0011031386248931	2.8925766635844075	1.6629219619722049	0.0299356172399877	2.0668732540059653	0.0098664847786343	2.4928904165680312	0.0002864398831774	0.0014295754921753	0.0282469736377983	2.5505308975213272	0.0122573966473954	0.0184662839933662	1.8122581677360257	1.8819491100183008	0.0081813734525526	0.0128540130674928	1.9661611598716144	0.1329329736814577	2.3051316904169825	1.630584520919701	2.1520208885459384	0.0035105473690602	0.0331240031887567	0.0120847033379338	0.0798599639495308	0.0056533155226748	2.0749471547860256	0.008202138838145	0.0079955805514571	0.0064564150294281	1.7438472664057385	1.83315963237622	0.118453773121287	0.0006268740260529	1.9550017361215883	0.0275066212381549	0.0130428457890786	0.150689784595574	1.7712095332967734	1.8532272316563487	0.1192047417560286	0.0227029810731934	2.45987029345974
E3_346	2.4253239755595084	2.166939505663666	2.09495363502727	2.041220144078322	0.0151448417349238	0.0045134063216045	2.671779452921585	1.8509145905770976	1.824337163441201	1.9844941312065816	1.757823377042797	0.0324570103612486	2.272637636808835	1.7709027706924128	1.3013412143611467	0.1087117284635875	2.000368451428088	1.91965482248956	0.0253618339182285	2.475356164668601	0.0044269403075689	0.1723199199165276	2.137410065582836	0.011887433980589	2.235938333917065	0.0821232571927602	2.084949950054042	2.707189768034093	1.931628636011557	1.7765435036092894	0.0130921602379116	0.0014841244931588	0.0295467387061538	2.241436503210128	1.8372416377670893	0.0024494366777672	2.204219150676949	1.8470803847802264	2.023123932797064	2.150645515068926	1.8500633825688444	1.4033089847775813	1.8616208395750025	2.1747341103679405	1.726092283259691	0.1371190111289819	0.0280989574414502	2.14178394906012	0.0041126092673564	2.2320674090580206	0.0016843429160511	2.3759978821551497	0.0945256913521247	0.0190983471188157	2.313361221380613	1.5314897943641756	1.462226719716777	1.9790693027290736	0.0067594745814388	2.312107835830782	0.0653013430410743	0.007032391167005	0.0171139215078229	2.472196409613108	2.034344841635954	0.014037979168286	2.119263901686387
E4_29	1.587583957550477	1.9125128805962104	1.7729594922719554	0.2981882012130515	1.1624721048250504	0.9996776665932392	2.270111194123999	1.3404751416474283	0.1023183702316685	0.6732758684590028	0.6448583832370648	0.7502797348270004	0.305630691035139	0.8947416192480375	1.0833628178574617	1.3873527016650589	0.5103399763513594	1.593539045612432	1.3390321910146354	0.4334379157351538	1.0029270900282137	0.8333049779938694	2.500695234336991	0.7619795747294142	1.066187905314958	0.2114362836827701	1.544460058765928	0.6127111449304322	0.4009446593346454	1.6438471216989472	1.3009254031865634	0.2987451305235514	1.262805684509778	0.4759523456090505	1.4185396080364576	0.4055349614838988	1.5734620767647236	1.0982647704802633	1.0655461054064703	0.1784155565011253	0.3530371720180421	1.1512518812435129	0.5705096494034474	1.5221840484778355	0.64063347496271	0.363885131094297	0.4900885721889961	0.9544225842782386	0.7412311903042833	1.6112900387423903	1.2577134883519985	0.5507378944144597	0.5826050225949666	0.8312242662732988	0.4615496834144957	1.6450424868656028	1.0886104157294072	1.4683206819086505	0.0484459721565287	0.2544282264700042	0.1529583306122041	1.5031113406233396	0.4817256886976687	1.4298069808917695	1.0728031814015973	1.6708105038824554	1.748888679120957
E5_787	0.0029315238620681	0.0494507545555921	0.0022662206256121	2.366514641055261	0.0104079909380001	0.0004801922748441	2.092208353661909	2.018038008772721	1.611493952416539	0.0424533424953583	1.5395213102013032	2.202201872106881	2.32758491873526	0.0055050909281224	1.4680554420696192	0.0079056532041593	2.2933968013720047	1.80880993667169	0.0427353683614552	2.3304360395281267	0.0188906813080373	0.0349832268312802	2.437872458680321	0.009814836256462	2.343674953713934	0.0169566173978323	1.906546853022619	2.7665097668412	2.277906943903213	1.781837569013165	0.0147708310762546	0.0063257141877279	0.0029076708886652	0.0355072940190163	0.018832317105232	0.0013170062965027	2.254764931050212	1.8290818752793427	0.001711855353229	0.0003644520546576	1.9215918492156383	0.0225561805365837	2.4077865466735004	1.575020308760776	2.271372550037356	0.0346639092085327	1.64448042360344	0.0004508047609209	0.0069483924268129	0.0001717905083961	0.0077059193965949	0.0099867591791429	0.0464764402053798	0.0113598936600453	2.1017450185961057	1.8277597271133508	0.0055005015791915	0.0525914085326862	0.1492426604376071	1.9480048562512464	0.0091965671091427	1.8939760811175468	1.4610539283877957	2.065938470698252	0.0028110148488925	1.7666806561289452	2.286958528568126
E6_70	2.1669289893054904	1.4110477918267166	0.7394263058922987	2.080245973846086	1.1779412768909825	0.4676007145433142	1.4062512048517843	2.026127138024454	0.4686882851168896	0.0077295874479173	1.1556351318407232	0.0172873451970261	1.5897732151445891	1.1201991070393431	0.0408233689433039	0.316635850881127	0.0510524765996585	2.116271470109539	0.0475767585040055	0.8719283607996127	0.3622177593936388	0.1424970061678698	1.840531230754788	0.5208512014210102	1.8583048584668085	0.0747589874774017	1.5883968679239295	1.215336074020935	0.9155644914494606	1.555897938445361	0.5836688584058792	0.0229709299840727	0.359684421653518	2.0580077720405168	0.0273274548088034	0.0881669710626192	1.317698483594349	0.4295914344192417	1.354523442382586	0.0866145858657972	0.1716791971801954	0.0040692710346317	1.572888937649826	1.7750993621139082	2.278595500609029	1.2765335537346847	0.079007608119451	0.2470449203727733	0.0096917213280644	2.3695108896133226	0.1422123800692245	1.576749663056247	0.773803739517066	0.5391641492292569	1.809991448451679	0.7263683053670711	1.8628940195160504	0.2875055736788033	0.0146918029382691	1.7004016600347551	0.0258899055396892	0.0304834335729636	0.5169589857835266	1.654725900560383	0.5118635838817034	0.1896611665314942	1.1933088371630076
E7_679	1.845516216421184	2.076188242621305	0.0122522839671979	2.29972602627619	1.8807007342656887	0.0070700986878009	1.585696849465772	2.250557204578661	1.8298591782705325	1.8838519496778785	1.792047319888873	0.0037468393768865	1.4587066164111744	2.2011504804757664	1.6791646539807028	0.0103200400552237	1.8176781279443992	1.6122691859100438	0.0047518249259971	2.005291205580907	1.273808793771862	1.8192092182554125	0.0231953038180904	0.0166259309169231	2.6788455254072985	0.0004066823835722	1.5231309963124584	2.269132452912356	2.5070077820446017	1.587527945097759	1.6164619474433102	0.0146754071430953	0.0107392119932618	2.004567597178082	2.5593846715317734	0.0291571215678861	1.9985892503477376	1.4788224497504772	1.5954118935951942	1.887882588467474	2.1380651198679885	2.8160561681445446	1.529986643320944	1.8050445225251417	1.788052553310135	0.0656116229547795	0.0050646780793404	1.4387653797045203	0.0230705134333658	2.173428012260759	2.060303538919447	1.888900473648273	0.0225625248660652	0.0062231151965681	1.937522763350821	2.301864326773536	0.0270276558128405	0.0066887453446939	0.0152261995774041	2.415934868881291	0.0247585083505707	0.0022393430855089	0.0051497284268041	2.498680062045897	2.004368263736689	2.4421980240584453	1.961287137936979
E8_328	1.9058689448680448	0.0010713030781734	0.0063696108480065	1.3364149728485588	1.848413328682712	0.0002065385633522	1.88379001371588	1.880017830384892	2.8537183363860086	0.0207216024905972	1.7078979367301468	1.7247955723624775	1.4064079789698496	1.6536946925224378	0.1024729568026221	0.0049839289052637	0.031140931398834	2.3210740804826107	0.0383025884153542	1.961508256021125	1.6395707713228969	2.0538169866164897	0.0255352970195467	0.0123724574156213	1.6152513189593816	1.579986856345004	0.0265266961569149	1.6064280216579627	0.0707116101386453	1.1863403327893107	2.168284961302558	0.0001168046988559	0.0297336926550461	0.0048830840915993	0.0160050274440245	0.008929830640524	1.450549804713844	2.255357926459122	2.4806906127778645	0.0019166157067898	2.2728211242187526	0.0023001667591585	2.154923720390511	1.941755302478669	1.832230893009852	0.2414985977734717	1.646568969068273	0.0934516326534618	0.0056217760704939	0.0001419231331508	1.6432041852233956	2.1164984639857707	0.1673950420117609	0.036787564032153	2.0955334621990858	2.030953248213083	0.4685374157529309	0.0386058196119725	1.7890304979866682	0.0061983351680566	0.0552170934615979	1.777294959334673	0.0060706732498684	2.1201771339224176	0.0005008113441282	2.1227210651128776	1.8582688889873968
E9_759	1.4868190493442877	1.848449196368931	2.633733820533219	1.892229010813208	0.0176647652344525	0.0350266330257262	1.9633942786879968	1.6340881931323443	1.9261797790326884	2.1523029224103185	2.0096668109747164	0.0323242214955829	1.6162987087648877	2.0630278312628647	2.8004520832057525	0.0028344202817455	1.9456855147416152	1.2268623698815868	0.0456068271354935	2.264884172607452	0.0071746372145857	0.0021073821916422	2.0553604588649828	0.0022823954570108	1.8125531064274008	0.0012252969115951	2.4581587063933243	2.359293625372345	2.453582906444577	1.995512266640141	0.0060364585293912	0.085331033072361	0.0236697636382866	2.126851087605555	1.6354077310292578	0.0161281772060339	1.635636051686706	1.746075181522908	1.390734321960294	1.784367608122214	1.8262585564704965	1.7870383290472909	1.817091908995327	2.092027156115849	2.124634546912602	0.1051384122171765	0.0390821990163481	2.44127875119438	0.0620197500325231	2.0937640166102853	0.0006674264891384	2.760719957193145	0.0913496984141829	0.0008267502556324	1.765549385679487	1.9379967111542744	2.344410084830104	1.983121657019444	0.0081780260582825	2.2604697954279893	0.0005213450328305	0.0063484295826697	0.0074406785245684	1.7235029630577423	2.470091865447676	0.0060753472011862	2.102333676976101
