	TH1	RAS	SMASE	S1P	BAX	CYTC	TBID	PGE2	ROS	CASP8	SMAD7	JUN	IAP	EP2	PTEN	COX2	CFLIP	SMAD	SOCS	IL6	MEKK1	AKT	NFKB	TGFR	CASP3	GP130	TNFR	CTL	IKB	CYCLIND1	CERAMIDE	TGFB	IL12	ATM	SOD	TNFA	DC	IKK	CASP9	FAS	BCL2	PI3K	GSK3B	JAK	ERK	TREG	SPHK1	SMAC	ASK1	Apoptosis	JNK	Proliferation	MEK	MDM2	BCATENIN	TH2	STAT3	PP2A	FOS	P21	IFNG	MOMP	APC	MAC	FADD	IL4	IL10	P53	RAF	CCL2
E1133_658	0.0004661804198049	1.3184406300569742	0.0425689675370149	2.3533121425842487	0.0056219767228124	0.0048590008751377	0.0133309373731584	0.010617469637441	0.003367207088184	0.0176118843536346	2.010729269067661	0.0406684744074335	1.883060014346536	0.0230365800324823	0.0063616458924405	0.0072420454110871	1.8606496315640684	0.0011004621742274	0.0908316290093143	1.9329457936440453	0.0060078361103267	1.827965709979616	1.5101828494159688	0.0023894078250134	0.0005638368274223	1.4877277772025632	0.000270001601452	0.05048701215369	0.0072127216656786	2.066793450420384	0.0203446418034468	0.039122812471245	0.0002042762315214	0.0750283768314499	2.086654060021648	0.0054730853762834	0.0196414154602131	1.7727877111364354	0.0534281931025758	0.0250273766288484	2.15538828652478	1.953931837327176	0.0218744306420049	1.979420762275476	2.2817299358804863	0.0005054379257953	1.943808952096388	0.0232361747961955	0.0083204876722189	0.0110515363366831	0.014970457746327	2.0991655590049514	1.4947273387261943	0.0201548609446167	1.540584689359742	1.8146118124244504	0.0117923050767983	0.0111293517309705	1.6410722263869777	0.0005823072443358	0.0002904179345905	0.0016130126863119	0.0124367227966176	0.0375855661967118	0.034724377013342	2.431758903895785	1.8316976229510515	0.0182346370623638	2.1013906205274435	2.0794849770335184
E1134_372	0.4085202386255085	1.7343882467754994	0.0107281276143205	1.801023703947914	0.0205223080137975	0.015998286272924	0.0105177654302127	0.0147634640483582	0.0091270824962887	0.0069691974702464	2.1068942782701305	2.805751933557883	2.07134061650593	0.0113398968755892	0.0049109467603463	0.0260862774579504	2.096787725949393	0.0038320752351409	1.7537071668874242	2.1718680975769846	0.0034870019238642	1.3771136935101522	1.3504910409321873	0.0038808530370051	0.0061624373493492	2.1554003609774366	0.0584244259074207	0.0024137472270143	0.0016214048341833	2.1185914048255454	0.0091208254689994	0.0607387565235395	0.3951339303930714	0.0303758867625558	1.952871908654976	0.027564908101867	1.5273787610047422	1.5623273708962422	0.0231446975931425	0.0036166000674188	2.1529832962786446	2.133343611201615	0.017729442419411	0.0066637301011669	2.21297459096119	0.0131053753198782	2.1665224929983404	0.0004856065958434	0.0148171717389105	0.0133732990264915	0.1726314108818069	1.7681660320360073	2.159827868210829	0.0042154087218758	2.4661875813186107	1.4480350607477592	0.0479105373663552	0.0145525024633403	1.873072856176806	0.0098673129548758	0.011432953754393	0.004711101015741	0.0012175726981561	1.8686272611208243	0.000869373299078	1.4595687645011968	1.16952217918447	1.1216050646774598	1.5102088745352789	1.5006179594158109
E1135_332	0.0452552383590851	0.0081727765268693	0.0325976102799821	2.15172035368638	0.0013372655109772	0.6629814588563652	0.0120213964575142	0.0278696450267691	0.0183335242706853	0.000345592225314	0.0326026441021804	0.0095376666650017	0.1840192252859623	0.0021434796680802	0.1441462955502656	0.0007690566175828	0.0149758277977428	0.0057366040668541	0.0026472479163221	0.0895180234407347	0.0043306352901845	0.0604963053663181	1.892270305989376	0.1111944785838546	0.0507397582376028	0.0121790140482249	0.0122075863697564	0.0011947197774679	0.0095945365252099	1.8346419464162216	0.1145466671120358	0.0133982695819817	0.0048130465360237	0.0316297055779777	0.0126342958201031	0.0021786603654621	0.0300442431790279	1.6943689251428766	1.6400098979413975	0.0224856892683732	0.0036302598925554	0.0168921452486873	0.1130833995573619	0.0011493593115738	2.263261694150072	0.0023883907040923	2.505290517484069	0.4855108748847581	0.006576937801294	0.0006301288637363	0.003332256918868	1.5040301612141196	1.7958763044861532	0.0235119129634289	2.0121385228117936	0.160855437000622	0.0028676122813224	0.0152717622010707	1.815892662827256	0.0086122498992711	0.0188720280995091	0.0001351720007594	1.7150860758449946	0.0002280906020629	0.016369534429062	0.0210628048095239	0.0233998616993641	0.0021134538921089	0.1059528595426954	0.005223550931123
E1136_200	1.6334874974557638	0.0138945291306055	2.0196201865055925	0.0245405728326523	0.006372058669947	0.7741592294411715	0.0673862929085385	0.0384004646111072	0.0003693097972181	0.0365361739864398	0.0025712566338305	1.4060953139666796	0.0067621500957132	0.0005723817537608	0.0166556278419733	0.004436845760573	0.0294754601185024	0.0003759498238992	0.0431932678315825	0.9397738103681644	1.740600046054681	1.6995708430119925	1.027105269812873	0.0628295411190434	0.0100466203057915	0.0265157972137125	0.0055157393892743	2.363700708537639	1.0028163996004715	2.150345383386001	1.8343803233101537	0.3593601442136747	1.1820542412761668	0.0229010043489628	0.0140389194240036	1.304814966593643	0.0044733346483235	1.913280900269212	0.0276155071859018	1.9825124180310016	0.0096917835544303	1.8096568311511727	0.0164282503283993	0.0079803903238664	1.4375649305844345	0.0253609841638793	1.4765418419076544	0.801764887290279	0.0081264450820173	0.0406576929981654	2.308194042768764	0.0032242773130512	1.8057816390791075	1.6238774186835596	2.280946649936028	0.0473377493319906	0.0142339671560177	0.0301803638887496	0.9552370020409736	1.7366984734755335	2.323752129125236	2.346013825433655	0.0466426949919034	1.9649176872845984	2.174181758188475	0.0146994213138932	0.1597627433782877	1.252800300388457	2.1957681737260675	0.010747514447193
E1137_705	0.0017907720224222	2.454743710334538	2.708086410504255	2.6602397819546466	0.0648219920372612	0.0146944020416357	0.0591165878102309	1.6158674651194018	0.0358289608553201	0.0079578350821885	2.708591600826137	1.892100065152552	2.442212026494317	1.9223337736221449	0.0035317259856458	2.0775284246969106	1.6287262606620243	0.0108236633762356	0.0494722641016354	1.8945960080959576	1.785029233047677	1.7918770790778862	1.782026096434202	0.0004462507660229	0.0121601620030992	2.466973096503948	2.2457768789230554	1.7746650430514237	0.023682679721608	2.1217131258541406	0.0713367442698369	0.0649442060740617	2.534171747329592	0.0317750169557383	1.926114089214053	1.7229998993686384	1.996869609009424	2.108018959301382	0.0370296664509633	2.4352761734375328	0.0003122096528643	2.207378530614656	0.0020534285578073	1.1198541731866212	1.803992027008381	0.0024000702870269	1.9933439937071664	0.0317404427137522	0.0017716957704211	0.0218642862241713	1.9397018071564944	0.1840919981936265	1.839595469445102	2.135655396500264	1.510229951665408	0.0558476254535904	0.0020904077241936	0.1789339667105625	1.980130861397635	2.334145315432246	1.832453484690476	0.0027700680013781	2.114664139412489	1.9017788169131504	2.487302676715102	1.7568449481537678	0.1396219794231798	1.055803413055864	2.1009428840802973	1.9257983470382471
E1138_730	0.0049149066828749	2.0158134890636368	2.1265049581887983	1.4224561183947184	0.0047993916009594	0.0408804965432296	0.0163049411535796	2.608659280261159	0.0051927496578034	0.0031361495714075	1.53976207411875	1.6562296105037753	1.9267544417041849	2.6555292277199483	0.0159254736310077	2.2080831878160065	1.8660764469577555	0.0142036683193907	0.0274641216283271	2.6186403131556584	2.188863954826391	2.240873360372548	1.820545025453417	0.0732853125432143	0.0048010994324973	2.392156134565964	2.005858608428833	1.6783123028364657	0.0178626492470333	1.6553679680241469	0.0015507557666694	0.0035076159401332	1.711213395446514	0.0042103196738565	1.684694928706031	2.202975274683365	2.3757875973330247	1.778914714814566	0.0049073668535477	1.7307345595315495	0.9669368475527972	1.914285370492692	0.066382280766139	1.81278647926444	2.067063118702772	0.0432477933051833	1.8295501438465889	0.0073246067898259	0.0177857852949819	0.0009312164464019	1.8637813702576809	2.1579424248450128	2.2434566219648624	0.6363144634653704	2.24367275950127	0.1122812791435274	0.00129577583185	0.0080798479848117	2.495509102029629	1.1567093653811535	2.501431727574753	0.0147759890317585	0.0158100198339266	2.203824163309115	2.1960845931441058	2.077834495970184	0.008519691120144	1.7361270402822069	1.708542613985041	1.8210797004000483
E1139_239	1.070714192883332	2.2250555316615435	1.7833661643056635	2.179927710109094	0.0018114727882626	0.0279083739056952	0.0136748602829193	1.871793967415062	0.0011541744690694	0.0051800151280842	2.34036551031167	1.8335887071779389	2.8780712413853786	1.6943459622676262	0.0168441464809985	2.547700922834214	2.046759587405597	0.0336294668655157	0.0384410257799272	1.9423433732772928	1.742953166045504	1.5118148926616155	1.7981200132197632	0.0058097723732121	0.0952612799688112	2.048418041180459	2.661525809546549	0.0538361734037212	0.0367396667808977	2.1282597193402903	0.0891874683449117	0.0718963901972925	1.6493176055657432	0.0007026085453089	1.994644075136686	1.8162135110818824	2.320775395224926	2.488114031535566	0.0135862785667364	0.0224993608636765	0.0096401805276289	1.9562257485748664	0.0296603492837657	1.6053239451734775	2.49123065241624	0.029324341976301	1.813793072337749	0.0326185258072324	0.0038487803622345	0.0002078797876247	1.621718504118558	0.0286749627110913	1.9068783111847991	2.547417991772262	1.7793781767014192	0.9822716115040744	1.6584350136544908	0.0003124373359936	1.804199236048066	2.1710484253168536	0.0051237212574743	0.0057029077880739	0.0133314009135704	1.8258081203490897	2.1015265828791	1.4307411365935705	0.0065289348109602	1.6159155534270138	2.0369089805597014	1.651281742281103
E1140_12	0.490516673284842	1.2662296913631157	1.8416292393811104	1.0136854422267074	0.4971786097445826	1.291845986415371	0.7410930690522626	0.8318109335509348	0.6458402198421102	1.1391386011313176	1.2250167671250538	0.5016866408564689	1.0086132917235964	1.34412654914758	0.7033519823289067	0.4973605323299064	0.8732254882619119	0.954824329467848	0.5519357679307839	1.6760605639882595	1.5122495511534	0.3606800844005381	0.4113293220668564	0.6093997061122909	0.7612330807494584	1.0499755215886355	0.7657445156796815	0.591874053321558	1.1247945365019751	0.8136629767484949	0.8314542071598343	1.1538768823067975	1.113765485922899	0.7778564862793477	1.4615675291332006	0.967948306306064	0.7789650058503694	1.2633176787748954	0.29282916116385	0.8180039137473075	0.3487135574413779	0.7239844028379016	0.5461352965843207	0.4678990918341719	0.7047154840036077	0.9630930839098824	1.6315413107837315	1.0290922797961697	0.5560518260846756	0.6390868256901525	1.3258512352956149	0.5438138932590655	1.3352383902048912	0.1675210585307697	1.422219228878852	0.3382519445402434	1.214651181467896	0.4762478797186867	1.0969136562030155	0.7855207029588045	1.133813208161034	1.0628642886905306	0.7977736509611174	0.7678805739042163	1.567729046810958	1.2064546495804405	1.5087402688739289	0.8542038421852282	1.1436019926813668	0.4776162976568598
E1141_270	0.7586514796295023	2.457983503770659	1.6776072049600428	1.8753508048888765	0.0467565137624926	0.0462673941124722	0.0011818017220861	0.0100314976519925	0.7349167897029442	0.5413326841158668	0.0410275817636581	0.0118898005091124	1.6940065770672148	0.0442549598113779	1.8363382840865687	1.2130489745305613	0.0179779864099529	0.0056893273914249	2.2882987531543195	2.286025094474087	1.4615846940852286	0.0085210725904518	0.014095397750416	0.0011795598641242	0.0241664917373494	1.7716431220728683	1.7148117059782688	2.620919363561551	1.6685877750747904	0.0099325492222512	0.0058436653129141	0.01795282505467	1.7153432017779529	0.0228985756038283	2.057665093619907	2.437502251566555	2.771187031755184	1.2041802470265506	0.0167412216159528	1.684576537777742	0.0003039636721602	0.0138114787925219	2.017055923564436	0.753198349186662	1.7354142188918764	0.0209941569952076	2.177002962325089	0.0050154059429682	0.0046149347995616	0.014051434712687	0.059130530453967	0.0192174945510297	2.199576803373713	0.0110758603996025	0.0084792091870979	0.0413003324458888	2.063206482779389	0.0053698508867523	2.413792554636545	0.0726295064834345	2.03145624914986	0.0077723023250917	2.0873717368770617	2.6880007383924376	2.036605312428444	2.076771544864468	0.0404301247707846	1.700051417456106	2.2305807105772955	0.0372958495170054
E1142_274	1.8569990723529184	1.525745903746598	0.0823462307966992	1.9018406856408947	0.0155098200613508	0.0183452494465364	0.0192179947540552	0.0018062684880058	1.6556238604294746	0.0697035615901862	0.0240128299589436	2.207993767828787	0.0077780618139	0.0236385917325468	0.0034457657864759	2.0534209223313424	0.0038742734749581	0.0010496791698757	0.042095413007209	2.022765859210722	1.381494478728291	2.4799386335330693	0.8047731347786536	0.0959395124324465	0.0021420013588822	1.8049758295701943	1.6096724407856378	1.5002341712429397	0.0071642132296709	2.0530899918532444	0.0021061867755549	0.0053484224188025	2.214744769856482	0.0916311108517967	0.0104049704497664	1.3825969087994152	1.5275351905531955	2.068692164583805	0.4437027529274408	0.241999821463626	0.0376747580379116	1.961166039693991	0.0064464147040648	1.8723956535267088	2.1486348840818743	0.0065125278096936	1.8346159173722936	0.0204472243424347	0.0169934010620823	0.0548311634884755	1.2861522135318315	0.8133583044044426	2.4831719341776464	0.0187352775833408	1.638558705332818	0.0686820057700293	2.179384342162793	0.0271884170145395	2.393723144242705	0.1078421379217673	1.7990672308951852	0.0284794309496181	2.135009555981107	2.3456066372234123	2.0500422393195805	1.608177619143393	0.0012213704185494	0.1678233535744122	1.982379526938238	0.089703229219129
