	A20a	IKKa	NFkB	C3a	T2	TNF	FLIP	C8a	NFkBnuc	IkB	CARP	IAP
E0_280	0.0033798034958216	0.0779542627057184	0.003451094195318	0.0327095445293193	0.0286844225083841	0.0779688590422779	0.029710776995235	0.0008199113190184	0.0013664288224307	1.633124105481016	1.729021385112092	2.3341994298629807
E1_239	0.0020798338952517	0.0039328574594781	0.0013210533602193	0.0184241602700979	0.0056424476079433	0.000762632088752	0.0307188519067111	0.0176127527042925	0.0040252884749734	2.5968586867731083	2.2909299107291514	1.970316304206256
E2_776	0.0190735521956948	0.0051719548180537	0.0015755810576868	0.8543930738518828	0.004004403470118	0.0023884110191992	0.0637201657584087	1.8007966778897266	0.0166513967666461	1.987719826523925	0.0038599561262486	0.0068903540978315
E3_586	0.0146863352153103	0.0108440858589867	0.0077484580024418	0.0335206510822492	0.0719034939559684	0.0232976074770506	0.0084231237135757	0.015097068984468	0.055543592990788	1.7157260929846576	2.411906300731716	1.8614715477006345
E4_189	0.0458934106177419	0.9039971179622918	1.7346947319321018	0.0002834498892958	1.3616295361835422	2.2645722510799446	0.0748149450017401	0.0259255260284219	1.677345973094454	0.0370979622679767	0.0064705112529314	0.0123292884825546
E5_615	0.0100356822567335	0.0100904036776762	0.029517521954003	0.017146257959498	0.003834118638965	0.0355931318439333	0.0189178733865346	0.0135151127017897	0.0387000562941283	1.8556355284826047	1.4177942692359324	1.9890331573990088
E6_596	0.0031886189296157	1.832460977105608	2.441862705641745	0.0039292622513971	1.7521342099584087	1.930821040728688	0.0033431491079029	0.002684790823077	2.1463324172241243	0.0004845817188089	0.3023054246963322	0.009908735403454
E7_489	2.0953778484284578	0.0022256489160496	0.0357288219712515	2.316171436073045	0.0587009768722946	2.08124859729293	1.2421229189429903	1.3626678148116524	0.0133904649148454	1.5965388556906868	0.000723952521188	0.0363026658984881
E8_83	0.0014027998161206	0.0003856005969861	0.2283003876778933	0.0205671785146886	0.0177947955042285	0.0020672434323146	0.6241001159359113	0.0419974800980791	0.3549477101338147	1.891786444724078	1.5538840583100808	2.1653845835388226
E9_497	0.0294623752288772	0.0041283064941858	0.0481646348630315	0.0045317043294064	0.0224037113935701	0.0014411632346103	0.0086796662670572	0.0375090389630977	0.0045996738246655	1.683855534867634	2.254925286965885	2.199164907126697
E10_92	0.0217542546155265	0.0111642420977183	0.0120391151816359	0.0361190377591847	0.000735270644458	0.0602047995596639	0.0902626194321263	0.0005265049882712	0.0260818410572108	2.054879790721322	1.8269750232081243	1.7864057550316113
E11_204	1.5444024654250113	0.598843817062344	1.8488332043262068	1.7116851823260677	1.7590558639364542	1.3315007872097704	1.883747636193775	2.5278802768672874	2.322418479802995	0.1759311722315543	0.3495484219489508	0.3143536430608238
E12_97	0.2690054280906654	2.1087216226867342	1.091250999778954	0.0424987224998865	1.3781806668804155	1.8449300425239987	0.1870859666886793	0.0057176588209576	0.4823760071290455	0.1672738799685665	0.0641006226317969	0.3387990840095854
E13_270	1.6094006869358748	0.0231830786906102	1.0563911432440158	0.0789031852048295	0.3134812114565516	1.9430909243367604	2.1953524243671554	0.2838161818976007	1.951277957778048	2.016981604888592	1.6890995191526146	1.3863494310178577
E14_252	1.5926367279040905	0.0872957204481194	1.68486245631596	2.3132019621161573	2.2836724244218893	1.7718734924867363	1.2700463606230237	2.1153473556041447	1.1212071680679856	0.1704287274980989	0.2529907393472408	0.4841672440237908
E15_485	0.8501481490957716	2.1443387767952347	1.7379921645259866	0.0085738625232209	1.815007637930323	1.8294460666821009	0.7673121669372847	0.3676976257248708	1.6778672965881918	0.4412793074060285	0.8207712832118429	0.7477729935464728
E16_567	2.601046816058075	1.7742768423329185	1.9512064601183368	1.8272931643823016	1.9450053986320743	1.443873308677154	1.649165670056878	1.5846265596390912	1.9912919579959285	0.0590391259086057	1.41417450457176	1.7587466183225833
E17_276	0.0101385554868805	0.0029599324326317	0.0925422734426969	0.0209437466127658	0.0028517123500296	0.0063366853000824	0.106700423985638	0.0588315834003065	0.0182515145938293	1.7334215359579987	1.915933753916616	2.086830543737732
E18_710	0.0030117189272098	0.0129652500022484	0.0025442440214415	0.0041793416580298	0.0017398200367163	0.0058170166530629	0.0053945689907054	0.0038838981667331	0.0123817827747841	1.8934375571720583	2.5707883786495103	2.3190945016364486
E19_696	0.0061662458757607	7.814249132678049e-05	1.8896923397713965	2.4236295938287498	2.462429049529086	2.118829344886393	0.1143295418810288	1.864122856300699	1.1389957816029714	0.0083253513568304	0.0618319418507019	0.0005693247131485
E20_388	0.0558608078922344	0.0130952086314379	0.0187750859615	0.0074775103502325	0.0003560889862749	0.0739615434751639	0.0035753334886349	0.0224273243306155	0.086033206281047	1.7232824543238323	2.244770147770573	2.3987901556538174
E21_78	0.0582161169625283	1.6356166310412834	2.0134404044782195	1.669937946562013	1.888253611703873	2.432440612364303	0.0472551652897184	2.0602995393697823	1.3637993580719097	0.0111136750065621	0.0213205647047742	0.0438269973263347
E22_164	0.0005532029582518	0.0048691948345788	0.2757081416678048	0.0072888761079072	0.0108307492465371	0.0017992343392698	0.0059621447288109	0.0629703695589963	0.0541624174950283	2.333641137466905	1.89512871639416	1.876803481318324
E23_796	0.113408850545181	0.0321540196348052	0.0215253071619175	0.0004165185988761	0.012605051170775	0.0513907763634147	0.0343226848067659	0.0142247605390219	0.008165945384798	1.9690442455524164	1.640335947195345	1.6228936993285152
E24_650	0.0081277420814622	0.0020843164987956	0.0992531921765713	0.0517147341161073	0.0089196893451773	0.0056906175891847	0.0043077447620941	0.1065954220023745	0.0007649833628065	2.088061258341619	2.019916065166971	1.7891389212059894
E25_709	1.380438460326726	1.6473960106600765	1.6985477204684682	0.0088124246979518	1.4865557561364915	1.7458306081996948	1.2680979483961952	0.4792600314680005	2.095801602809659	0.9510151059263572	1.1747358458423032	1.1661448765005566
E26_359	0.0623233066327616	0.0660300588068754	0.0037061952469989	0.0179109426836648	0.0372966727663281	1.9905572033981511	0.0960068658217215	0.0300193185847748	0.0302072536220962	0.1011455658514262	0.0488926413530462	0.0618666272027505
E27_44	0.050654680476587	0.0360454700736413	0.4636022167249485	0.0600352588358507	0.0122809824211928	0.4802313340022082	0.3424614358833336	0.0425132559933844	0.4507529461717492	1.576584925759701	1.8263308474668496	1.69013222732355
